产品系列,产品Slug,产品型号,中文详情标题,中文状态,英文详情标题,英文状态,西班牙语详情标题,西班牙语状态,法语详情标题,法语状态,韩语详情标题,韩语状态,俄语详情标题,俄语状态,是否异常,异常说明,数据源文件
泵,dpgl800-gas-liquid-diaphragm-pump,,DPGL800 气液混合隔膜泵,正常,DPGL800 Gas-Liquid Diaphragm Pump,正常,DPGL800,正常,DPGL800,正常,DPGL800,缺少韩文标题,DPGL800,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpgl800-brushless-gas-liquid-diaphragm-pump,,DPGL800 无刷气液混合隔膜泵｜6 L/min｜FOREACH,正常,DPGL800 Brushless Gas-Liquid Diaphragm Pump | 6 L/min | FOREACH,正常,DPGL800-BRUSHLESS,正常,DPGL800-BRUSHLESS,正常,DPGL800-BRUSHLESS,缺少韩文标题,DPGL800-BRUSHLESS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl30-liquid-diaphragm-pump,,DPL30 液体隔膜泵,正常,DPL30 Liquid Diaphragm Pump,正常,DPL30,正常,DPL30,正常,DPL30,缺少韩文标题,DPL30,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl30-brushless-liquid-diaphragm-pump,,DPL30 无刷液体隔膜泵｜300 mL/min 100 kPa｜FOREACH,正常,DPL30 Brushless Liquid Diaphragm Pump | 300 mL/min 100 kPa | FOREACH,正常,DPL30-BRUSHLESS,正常,DPL30-BRUSHLESS,正常,DPL30-BRUSHLESS,缺少韩文标题,DPL30-BRUSHLESS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl30h-liquid-diaphragm-pump,,DPL30H 液体隔膜泵,正常,DPL30H Liquid Diaphragm Pump,正常,DPL30H,正常,DPL30H,正常,DPL30H,缺少韩文标题,DPL30H,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl30h-brushless-liquid-diaphragm-pump,,DPL30H 无刷液体隔膜泵｜300 mL/min 600 kPa｜FOREACH,正常,DPL30H Brushless Liquid Diaphragm Pump | 300 mL/min 600 kPa | FOREACH,正常,DPL30H-BRUSHLESS,正常,DPL30H-BRUSHLESS,正常,DPL30H-BRUSHLESS,缺少韩文标题,DPL30H-BRUSHLESS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl60-liquid-diaphragm-pump,,DPL60 液体隔膜泵,正常,DPL60 Liquid Diaphragm Pump,正常,DPL60,正常,DPL60,正常,DPL60,缺少韩文标题,DPL60,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl60-brushless-liquid-diaphragm-pump,,DPL60 无刷液体隔膜泵｜600 mL/min 100 kPa｜FOREACH,正常,DPL60 Brushless Liquid Diaphragm Pump | 600 mL/min 100 kPa | FOREACH,正常,DPL60-BRUSHLESS,正常,DPL60-BRUSHLESS,正常,DPL60-BRUSHLESS,缺少韩文标题,DPL60-BRUSHLESS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl30-24db-ep-ps-liquid-diaphragm-pump,,DPL30-24DB-EP/PS 液体隔膜泵,正常,DPL30-24DB-EP/PS liquid diaphragm pump,正常,DPL30-24DB-EP/PS,正常,DPL30-24DB-EP/PS,正常,DPL30-24DB-EP/PS,缺少韩文标题,DPL30-24DB-EP/PS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl30-24bb-ep-ps-liquid-diaphragm-pump,,DPL30-24BB-EP/PS 液体隔膜泵,正常,DPL30-24BB-EP/PS liquid diaphragm pump,正常,DPL30-24BB-EP/PS,正常,DPL30-24BB-EP/PS,正常,DPL30-24BB-EP/PS,缺少韩文标题,DPL30-24BB-EP/PS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl60-24db-ep-ps-liquid-diaphragm-pump,,DPL60-24DB-EP/PS 液体隔膜泵,正常,DPL60-24DB-EP/PS liquid diaphragm pump,正常,DPL60-24DB-EP/PS,正常,DPL60-24DB-EP/PS,正常,DPL60-24DB-EP/PS,缺少韩文标题,DPL60-24DB-EP/PS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl60-24bb-ep-ps-liquid-diaphragm-pump,,DPL60-24BB-EP/PS 液体隔膜泵,正常,DPL60-24BB-EP/PS liquid diaphragm pump,正常,DPL60-24BB-EP/PS,正常,DPL60-24BB-EP/PS,正常,DPL60-24BB-EP/PS,缺少韩文标题,DPL60-24BB-EP/PS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl30h-24ds-ep-ps-liquid-diaphragm-pump,,DPL30H-24DS-EP/PS 液体隔膜泵,正常,DPL30H-24DS-EP/PS liquid diaphragm pump,正常,DPL30H-24DS-EP/PS,正常,DPL30H-24DS-EP/PS,正常,DPL30H-24DS-EP/PS,缺少韩文标题,DPL30H-24DS-EP/PS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpl30h-24bs-ep-ps-liquid-diaphragm-pump,,DPL30H-24BS-EP/PS 液体隔膜泵,正常,DPL30H-24BS-EP/PS liquid diaphragm pump,正常,DPL30H-24BS-EP/PS,正常,DPL30H-24BS-EP/PS,正常,DPL30H-24BS-EP/PS,缺少韩文标题,DPL30H-24BS-EP/PS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,dpgl800-24bs6-ep-ps-gas-liquid-diaphragm-pump,,DPGL800-24BS6-EP/PS 气液混合隔膜泵,正常,DPGL800-24BS6-EP/PS gas-liquid diaphragm pump,正常,DPGL800-24BS6-EP/PS,正常,DPGL800-24BS6-EP/PS,正常,DPGL800-24BS6-EP/PS,缺少韩文标题,DPGL800-24BS6-EP/PS,缺少俄文标题,是,韩语：缺少韩文标题；俄语：缺少俄文标题,data/products/generated/pumps/diaphragm-pumps/detail/index.json
