产品系列	产品型号	数据源文件
泵		data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵		data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	DRPL-0109	data/products/generated/pumps/valveless-pumps/detail/index.json
泵	DRPL-0119	data/products/generated/pumps/valveless-pumps/detail/index.json
泵		data/products/generated/pumps/syringe-pumps/detail/index.json
泵		data/products/generated/pumps/syringe-pumps/detail/index.json
泵		data/products/generated/pumps/syringe-pumps/detail/index.json
泵		data/products/generated/pumps/syringe-pumps/detail/index.json
泵	RPL-P15	data/products/generated/pumps/valveless-pumps/detail/index.json
泵	RPL-P4	data/products/generated/pumps/valveless-pumps/detail/index.json
泵	RPL-P6.35	data/products/generated/pumps/valveless-pumps/detail/index.json
泵	SMTP2-1000μL	data/products/generated/pumps/pipetting-pumps/detail/index.json
泵	SMTP4-100μL	data/products/generated/pumps/pipetting-pumps/detail/index.json
泵	SMTP4-500μL	data/products/generated/pumps/pipetting-pumps/detail/index.json
阀		data/products/generated/valves/detail/index.json
阀		data/products/generated/valves/detail/index.json
阀		data/products/generated/valves/detail/index.json
阀	CV-BE-24-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BE-32-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BE-32-PV-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BE-64-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BE-79-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BE-95-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BF-16-PV-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BF-32-PP-B	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BF-32-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BV-32-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BV-48-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BV-64-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-BV-79-PP-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-DE-16-PV-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-DE-24-PV-N	data/products/generated/fittings/check-valves/detail/index.json
阀	CV-DE-32-PV-N	data/products/generated/fittings/check-valves/detail/index.json
阀	Q2001-PMV-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-PMV-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-PMX-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-PMX-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-PNV-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-PNV-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-PNX-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-PNX-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-SMV-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-SMV-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-SMX-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-SMX-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-SNV-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-SNV-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-SNX-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2001-SNX-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PMV-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PMV-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PMX-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PMX-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PNV-LACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PNV-LPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PNV-SACF	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PNV-SACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PNV-SPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PNX-LACN	data/products/generated/fittings/quick-connect-fittings/detail/index.json
阀	Q2002-PNX-LPPE	data/products/generated/fittings/quick-connect-fittings/detail/index.json
