映射来源,替代数据位置,替代数据商品编码,替代数据FOREACH型号,竞品型号数量,竞品型号,匹配状态,匹配方式,正式数据匹配数,产品中心商品编码,产品中心FOREACH型号,产品中心Slug,产品中心详情链接,产品中心标题,建议桥接键
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[0],809791,PNC-U32-16-PK-N,1,WK11G-10-32-K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[1],809661,PNC6-U32-16-PK-N,2,JR-5513 | WK11F-10-32-K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[2],136005,G-178-32-PA-V,1,FAX26-NY0,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[3],136004,G-178-48-PA-V,1,FAX86-NY0,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[4],136003,G-178-64-PA-V,1,FAX84-NY0,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[5],809927,标滚卡箍接头HNE-U28-32-PP-N,1,WD10A-28P,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[6],809922,紧凑六方卡箍接头HNE6-U28-32-PS-B,1,WF06EL-28S-黑,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[7],809421,HFL-M6-16-PV-B,1,P-982BLKx,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[8],809423,HFL-M6-32-PV-B,1,P-1082BLKx,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[9],809391,HFL-U28-16-PV-B,1,P-482BLK,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[10],809030,HFL-U28-16-PV-N,1,WF16G-1/4-28-V,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[11],809040,HFL-U28-20-PV-N,1,WF20G-1/4-28-V,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[12],809052,HFL-U28-25-PV-N,1,WF25G-1/4-28-V,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[13],809047,HFL-U28-30-PV-N,1,WF30G-1/4-28-V,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[14],809035,HFL-U28-32-PV-N,1,P-482G,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[15],809128,HNF6-M6-16-PS-B,1,008NC16-CS6B,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[16],809138,HNF6-M6-32-PS-B,1,008NC32-YC6U,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[17],809127,HNF6-U28-16-PS-B,2,008NF16-YC5B | 008NC16-CS5B,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[18],809137,HNF6-U28-32-PS-B,2,008NF32-YC5B | 008NC32-YC5U,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[19],809058,HFL6-M6-16-PS-B,1,WF16N-M6,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[20],809078,HFL6-M6-20-PS-B,1,WF20N-M6,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[21],809098,HFL6-M6-25-PS-B,1,WF25N-M6,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[22],809088,HFL6-M6-30-PS-B,1,WF30N-M6,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[23],809057,HFL6-U28-16-PS-B,1,WF16N-1/4-28,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[24],809550,HFL6-U28-16-PS-U,1,008NF-YC5U,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[25],809077,HFL6-U28-20-PS-B,1,WF20N-1/4-28,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[26],809097,HFL6-U28-25-PS-B,1,WF25N-1/4-28,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[27],809087,HFL6-U28-30-PS-B,1,WF30N-1/4-28,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[28],809201,CL-0-16-ET-N,1,008CZ16,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[29],809205,CL-0-20-ET-N,2,008CZ20 | 008CZ19,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[30],809207,CL-0-25-ET-N,1,008CZ25,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[31],809209,CL-0-30-ET-N,1,008CZ30,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[32],809203,CL-0-32-ET-N,1,008CZ32,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[33],809731,CL-0X-16-ET-N,1,P-200x,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[34],809734,CL-0X-20-ET-N,2,P-363Rx | YE-020-F,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[35],809735,CL-0X-25-ET-N,2,P-353x | YE-025-F,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[36],809736,CL-0X-30-ET-N,2,P-343x | YE-030-F,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[37],809780,CL-0X-32-ET-N,2,P-300x | YE-032-F,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[38],809937,HSF-U28-16-PK-N,1,WF06B,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[39],809861,HSF-U28-32-PEEK-N,1,WD06B,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[40],809814,HSF6-U28-16-PS-B,1,WF16FL,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[41],809828,HSF6-U28-32-PK-N,1,WD01B-28K,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[42],809815,HSF6-U28-32-PS-B,1,WD32FL,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[43],809945,紧凑卡环接头HSF6-U28-16-PK-N,1,WF01B,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[44],809654,CL-1-16,2,P-213x | P-232x,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[45],809801,CL-1S-16,3,P-250x和P-259x | 008FK16 | KCF-038SU316+YE-016F,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[46],809802,CL-1S-20,2,008FK20 | KCF-038SU316+YE-020F,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[47],809803,CL-1S-25,2,008FK25 | KCF-045SU316+YE-025F,未匹配,未匹配,0,,,,,,人工确认
竞品型号映射,fittingCompatibleModelProducts:fittingCompatibleModelProducts[48],809804,CL-1S-30,2,008FK30 | KCF-045SU316+YE-030F,未匹配,未匹配,0,,,,,,人工确认
