替代页商品编码,替代页FOREACH型号,替代页标题,替代页Href,替代页数据位置,正式数据匹配数,匹配状态,产品中心商品编码,产品中心FOREACH型号,产品中心Slug,产品中心详情链接
839041,Q2001-PMV-SACN,,/products/fittings/quick-connect-fittings/q2001-pmv-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[51],1,唯一匹配,839041,Q2001-PMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839085,Q2001-PMV-SPPE,,/products/fittings/quick-connect-fittings/q2001-pmv-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[52],1,唯一匹配,839085,Q2001-PMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839019,Q2001-PMX-SACN,,/products/fittings/quick-connect-fittings/q2001-pmx-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[53],1,唯一匹配,839019,Q2001-PMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839063,Q2001-PMX-SPPE,,/products/fittings/quick-connect-fittings/q2001-pmx-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[54],1,唯一匹配,839063,Q2001-PMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839034,Q2001-PNV-SACN,,/products/fittings/quick-connect-fittings/q2001-pnv-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[55],1,唯一匹配,839034,Q2001-PNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839078,Q2001-PNV-SPPE,,/products/fittings/quick-connect-fittings/q2001-pnv-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[56],1,唯一匹配,839078,Q2001-PNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839012,Q2001-PNX-SACN,,/products/fittings/quick-connect-fittings/q2001-pnx-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[57],1,唯一匹配,839012,Q2001-PNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839056,Q2001-PNX-SPPE,,/products/fittings/quick-connect-fittings/q2001-pnx-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[58],1,唯一匹配,839056,Q2001-PNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839030,Q2001-SMV-SACN,,/products/fittings/quick-connect-fittings/q2001-smv-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[59],1,唯一匹配,839030,Q2001-SMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839074,Q2001-SMV-SPPE,,/products/fittings/quick-connect-fittings/q2001-smv-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[60],1,唯一匹配,839074,Q2001-SMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839008,Q2001-SMX-SACN,,/products/fittings/quick-connect-fittings/q2001-smx-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[61],1,唯一匹配,839008,Q2001-SMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839052,Q2001-SMX-SPPE,,/products/fittings/quick-connect-fittings/q2001-smx-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[62],1,唯一匹配,839052,Q2001-SMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839023,Q2001-SNV-SACN,,/products/fittings/quick-connect-fittings/q2001-snv-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[63],1,唯一匹配,839023,Q2001-SNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839067,Q2001-SNV-SPPE,,/products/fittings/quick-connect-fittings/q2001-snv-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[64],1,唯一匹配,839067,Q2001-SNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839001,Q2001-SNX-SACN,,/products/fittings/quick-connect-fittings/q2001-snx-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[65],1,唯一匹配,839001,Q2001-SNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839045,Q2001-SNX-SPPE,,/products/fittings/quick-connect-fittings/q2001-snx-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[66],1,唯一匹配,839045,Q2001-SNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839042,Q2002-PMV-SACN,,/products/fittings/quick-connect-fittings/q2002-pmv-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[67],1,唯一匹配,839042,Q2002-PMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839086,Q2002-PMV-SPPE,,/products/fittings/quick-connect-fittings/q2002-pmv-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[68],1,唯一匹配,839086,Q2002-PMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839020,Q2002-PMX-SACN,,/products/fittings/quick-connect-fittings/q2002-pmx-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[69],1,唯一匹配,839020,Q2002-PMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839064,Q2002-PMX-SPPE,,/products/fittings/quick-connect-fittings/q2002-pmx-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[70],1,唯一匹配,839064,Q2002-PMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839038,Q2002-PNV-LACN,,/products/fittings/quick-connect-fittings/q2002-pnv-lacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[71],1,唯一匹配,839038,Q2002-PNV-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839082,Q2002-PNV-LPPE,,/products/fittings/quick-connect-fittings/q2002-pnv-lppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[72],1,唯一匹配,839082,Q2002-PNV-LPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839035,Q2002-PNV-SACN,,/products/fittings/quick-connect-fittings/q2002-pnv-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[73],1,唯一匹配,839035,Q2002-PNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839079,Q2002-PNV-SPPE,,/products/fittings/quick-connect-fittings/q2002-pnv-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[74],1,唯一匹配,839079,Q2002-PNV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839016,Q2002-PNX-LACN,,/products/fittings/quick-connect-fittings/q2002-pnx-lacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[75],1,唯一匹配,839016,Q2002-PNX-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839060,Q2002-PNX-LPPE,,/products/fittings/quick-connect-fittings/q2002-pnx-lppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[76],1,唯一匹配,839060,Q2002-PNX-LPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839013,Q2002-PNX-SACN,,/products/fittings/quick-connect-fittings/q2002-pnx-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[77],1,唯一匹配,839013,Q2002-PNX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839057,Q2002-PNX-SPPE,,/products/fittings/quick-connect-fittings/q2002-pnx-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[78],1,唯一匹配,839057,Q2002-PNX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839031,Q2002-SMV-SACN,,/products/fittings/quick-connect-fittings/q2002-smv-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[79],1,唯一匹配,839031,Q2002-SMV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839075,Q2002-SMV-SPPE,,/products/fittings/quick-connect-fittings/q2002-smv-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[80],1,唯一匹配,839075,Q2002-SMV-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839009,Q2002-SMX-SACN,,/products/fittings/quick-connect-fittings/q2002-smx-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[81],1,唯一匹配,839009,Q2002-SMX-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839053,Q2002-SMX-SPPE,,/products/fittings/quick-connect-fittings/q2002-smx-sppe,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[82],1,唯一匹配,839053,Q2002-SMX-SPPE,quick-connect-fittings,/products/fittings/quick-connect-fittings
839027,Q2002-SNV-LACN,,/products/fittings/quick-connect-fittings/q2002-snv-lacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[83],1,唯一匹配,839027,Q2002-SNV-LACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
839024,Q2002-SNV-SACN,,/products/fittings/quick-connect-fittings/q2002-snv-sacn,fittingReplacementAllCompatibleProducts:fittingReplacementAllCompatibleProducts[84],1,唯一匹配,839024,Q2002-SNV-SACN,quick-connect-fittings,/products/fittings/quick-connect-fittings
