产品系列	产品Slug	数据源文件
泵	dpgl800-gas-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpgl800-brushless-gas-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpgl800-24bs6-ep-ps-gas-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpgl800-24bs6-ff-ps-gas-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl30-brushless-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl30-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl30-24bb-ep-ps-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl30-24db-ep-ps-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl30h-brushless-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl30h-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl30h-24bs-ep-ps-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl30h-24ds-ep-ps-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl60-brushless-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl60-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl60-24bb-ep-ps-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	dpl60-24db-ep-ps-liquid-diaphragm-pump	data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵	drpl-0109	data/products/generated/pumps/valveless-pumps/detail/index.json
泵	drpl-0119	data/products/generated/pumps/valveless-pumps/detail/index.json
泵	hld3-30mm-rotary-valve-syringe-pump	data/products/generated/pumps/syringe-pumps/detail/index.json
泵	hld6-60mm-rotary-valve-syringe-pump	data/products/generated/pumps/syringe-pumps/detail/index.json
泵	hmd3-30mm-solenoid-syringe-pump	data/products/generated/pumps/syringe-pumps/detail/index.json
泵	hmd6-60mm-solenoid-syringe-pump	data/products/generated/pumps/syringe-pumps/detail/index.json
泵	rpl-p15	data/products/generated/pumps/valveless-pumps/detail/index.json
泵	rpl-p4	data/products/generated/pumps/valveless-pumps/detail/index.json
泵	rpl-p635	data/products/generated/pumps/valveless-pumps/detail/index.json
泵	smtp2-1000ul	data/products/generated/pumps/pipetting-pumps/detail/index.json
泵	smtp4-100ul	data/products/generated/pumps/pipetting-pumps/detail/index.json
泵	smtp4-500ul	data/products/generated/pumps/pipetting-pumps/detail/index.json
阀	solenoid-valves	data/products/generated/valves/detail/index.json
阀	high-pressure-valves	data/products/generated/valves/detail/index.json
阀	rotary-valves	data/products/generated/valves/detail/index.json
