"序号","数据文件","商品编码","型号","原状态","新状态","本次修改","匹配方式","原数据行"
"1","data/products/selection/barbed-fitting-selection.generated.ts","809862","BA-40D-64D-PP-N","active","hidden","是","商品编码/产品ID","2625"
"2","data/products/selection/barbed-fitting-selection.generated.ts","806037","BA-40-64-PP-N","active","hidden","是","商品编码/产品ID","2683"
"3","data/products/selection/barbed-fitting-selection.generated.ts","806148","BA-32-95-PP-N","active","hidden","是","商品编码/产品ID","2741"
"4","data/products/selection/barbed-fitting-selection.generated.ts","806276","BA-48-95-PP-N","active","hidden","是","商品编码/产品ID","2799"
"5","data/products/selection/barbed-fitting-selection.generated.ts","806036","BA-24-40-PP-N","active","hidden","是","商品编码/产品ID","2857"
"6","data/products/selection/barbed-fitting-selection.generated.ts","806033","BA-32-64-PP-N","active","hidden","是","商品编码/产品ID","2915"
"7","data/products/selection/barbed-fitting-selection.generated.ts","806201","BA-127-PP-N","active","hidden","是","商品编码/产品ID","2973"
"8","data/products/selection/barbed-fitting-selection.generated.ts","806256","BA-95-127-PP-N","active","hidden","是","商品编码/产品ID","3031"
"9","data/products/selection/barbed-fitting-selection.generated.ts","806272","BA-40-79-AC-W","active","hidden","是","商品编码/产品ID","3089"
"10","data/products/selection/barbed-fitting-selection.generated.ts","806147","BA-32-48-PP-N","active","hidden","是","商品编码/产品ID","3147"
"11","data/products/selection/barbed-fitting-selection.generated.ts","809881","BL-160-PP-N","active","hidden","是","商品编码/产品ID","4655"
"12","data/products/selection/barbed-fitting-selection.generated.ts","806197","BT-24-16-16-PP-N","active","hidden","是","商品编码/产品ID","6483"
"13","data/products/selection/barbed-fitting-selection.generated.ts","809863","BT-48D-PP-N","active","hidden","是","商品编码/产品ID","7191"
"14","data/products/selection/barbed-fitting-selection.generated.ts","809865","BT-79D-PP-N","active","hidden","是","商品编码/产品ID","7250"
"15","data/products/selection/barbed-fitting-selection.generated.ts","806208","BY-64-40-40-PP-N","active","hidden","是","商品编码/产品ID","8902"
"16","data/products/selection/barbed-fitting-selection.generated.ts","806282","BY-79-PP-N","active","hidden","是","商品编码/产品ID","8961"
"17","data/products/selection/barbed-fitting-selection.generated.ts","806224","BF4-16-PP-N","active","hidden","是","商品编码/产品ID","9020"
"18","data/products/selection/barbed-fitting-selection.generated.ts","806055","BF4-24-PP-N","active","hidden","是","商品编码/产品ID","9077"
"19","data/products/selection/barbed-fitting-selection.generated.ts","806189","BF4-32-PP-N","active","hidden","是","商品编码/产品ID","9134"
"20","data/products/selection/barbed-fitting-selection.generated.ts","806220","BX4-16-PP-N","active","hidden","是","商品编码/产品ID","9191"
"21","data/products/selection/barbed-fitting-selection.generated.ts","806192","BX4-24-PP-N","active","hidden","是","商品编码/产品ID","9248"
"22","data/products/selection/barbed-fitting-selection.generated.ts","806221","BX4-32-PP-N","active","hidden","是","商品编码/产品ID","9305"
"23","data/products/selection/filter-check-valve-selection.generated.ts","136009","F-PE-10-24-PP-N","active","hidden","是","商品编码/产品ID","15"
"24","data/products/selection/filter-check-valve-selection.generated.ts","139002","F-PE-100-32-PV-N","active","hidden","是","商品编码/产品ID","159"
"25","data/products/selection/filter-check-valve-selection.generated.ts","139012","F-PA-150-32-PP-N","active","hidden","是","商品编码/产品ID","303"
"26","data/products/selection/filter-check-valve-selection.generated.ts","139014","F-PA-250-32D-PA-N","active","hidden","是","商品编码/产品ID","375"
"27","data/products/selection/filter-check-valve-selection.generated.ts","139005","F-SS-150-127-AC-N","active","hidden","是","商品编码/产品ID","447"
"28","data/products/selection/filter-check-valve-selection.generated.ts","139006","F-SS-150-127D-AC-N","active","hidden","是","商品编码/产品ID","519"
"29","data/products/selection/filter-check-valve-selection.generated.ts","139007","F-SS-150-127-PP-N","active","hidden","是","商品编码/产品ID","591"
"30","data/products/selection/filter-check-valve-selection.generated.ts","139008","F-SS-150-127D-PP-N","active","hidden","是","商品编码/产品ID","663"
"31","data/products/selection/filter-check-valve-selection.generated.ts","139011","F-SS-150-79D-PP-N","active","hidden","是","商品编码/产品ID","736"
"32","data/products/selection/filter-check-valve-selection.generated.ts","139013","F-SS-150-95D-PP-N","active","hidden","是","商品编码/产品ID","808"
"33","data/products/selection/filter-check-valve-selection.generated.ts","139015","F-SS-150-191-PP-N","active","hidden","是","商品编码/产品ID","882"
"34","data/products/selection/filter-check-valve-selection.generated.ts","139009","139009","active","hidden","是","商品编码/产品ID","954"
"35","data/products/selection/filter-check-valve-selection.generated.ts","139010","139010","active","hidden","是","商品编码/产品ID","1026"
"36","data/products/selection/filter-check-valve-selection.generated.ts","126006","CV-DE-16-PV-N","active","hidden","是","商品编码/产品ID","1098"
"37","data/products/selection/filter-check-valve-selection.generated.ts","126007","CV-BV-32-PP-N","active","hidden","是","商品编码/产品ID","1170"
"38","data/products/selection/filter-check-valve-selection.generated.ts","126009","CV-BV-48-PP-N","active","hidden","是","商品编码/产品ID","1244"
"39","data/products/selection/filter-check-valve-selection.generated.ts","126011","CV-BV-64-PP-N","active","hidden","是","商品编码/产品ID","1320"
"40","data/products/selection/filter-check-valve-selection.generated.ts","126012","CV-BE-64-PP-N","active","hidden","是","商品编码/产品ID","1394"
"41","data/products/selection/filter-check-valve-selection.generated.ts","126013","CV-BV-79-PP-N","active","hidden","是","商品编码/产品ID","1466"
"42","data/products/selection/filter-check-valve-selection.generated.ts","126014","CV-BE-79-PP-N","active","hidden","是","商品编码/产品ID","1538"
"43","data/products/selection/filter-check-valve-selection.generated.ts","126016","CV-BE-95-PP-N","active","hidden","是","商品编码/产品ID","1610"
"44","data/products/selection/filter-check-valve-selection.generated.ts","126025","CV-BF-16-PV-N","active","hidden","是","商品编码/产品ID","1682"
"45","data/products/selection/filter-check-valve-selection.generated.ts","126026","CV-DE-24-PV-N","active","hidden","是","商品编码/产品ID","1754"
"46","data/products/selection/filter-check-valve-selection.generated.ts","126027","CV-DE-32-PV-N","active","hidden","是","商品编码/产品ID","1826"
"47","data/products/selection/filter-check-valve-selection.generated.ts","129002","CV-BE-32-PV-N","active","hidden","是","商品编码/产品ID","1970"
"48","data/products/selection/filter-check-valve-selection.generated.ts","129003","CV-BF-32-PP-N","active","hidden","是","商品编码/产品ID","2042"
"49","data/products/selection/filter-check-valve-selection.generated.ts","129004","CV-BE-24-PP-N","active","hidden","是","商品编码/产品ID","2114"
