"序号","模块","产品编码","产品ID","型号","产品类型","产品系列","图片路径","下架原因","数据文件","行号"
"1","产品中心快插接头","839091","839091","Q2002-PNV-SACF","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","1233"
"2","产品中心快插接头","839092","839092","Q2002-SNV-SACF","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","1948"
"3","产品中心快插接头","839097","839097","Q2018T-SNV-SPPE","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","5028"
"4","产品中心快插接头","839104","839104","Q2018T-SNX-SPPE","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","5138"
"5","产品中心快插接头","839105","839105","Q2028U-SMV-SPPE","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","5358"
"6","产品中心快插接头","839106","839106","Q2028U-PNV-SPPE","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","5248"
"7","产品中心快插接头","839107","839107","Q2028U-SMV-SACN","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","5303"
"8","产品中心快插接头","839108","839108","Q2028U-PNV-SACN","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","5193"
"9","产品中心快插接头","839109","839109","Q2018T-SNV-SACN","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","4973"
"10","产品中心快插接头","839110","839110","Q2018T-SNX-SACN","quick-connect-fittings","Q20","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","5083"
"11","产品中心快插接头","849018","849018","Q4004-SNV-SACN","quick-connect-fittings","Q40","/images/products/fittings/quick-connect-fittings/products/q4004-snv-sacn-main.jpg","与 1 个其他产品复用同一张图片","data/products/selection/quick-connect-fitting-selection.generated.ts","6183"
"12","产品中心快插接头","849052","849052","Q4004-SNV-SPPE","quick-connect-fittings","Q40","/images/products/fittings/quick-connect-fittings/products/q4004-snv-sppe-main.jpg","与 1 个其他产品复用同一张图片","data/products/selection/quick-connect-fitting-selection.generated.ts","6238"
"13","产品中心快插接头","869005","869005","Q6012N-SNX-SPPE","quick-connect-fittings","Q60","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","10253"
"14","产品中心快插接头","869009","869009","Q6006-PNX-SPPE","quick-connect-fittings","Q60","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","8768"
"15","产品中心快插接头","869025","869025","Q6012N-SNV-SPPE","quick-connect-fittings","Q60","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","10198"
"16","产品中心快插接头","869029","869029","Q6006-PNV-SPPE","quick-connect-fittings","Q60","/images/products/FIT/Quick connector_200x200_01_v001.jpg","使用快插通用复用图","data/products/selection/quick-connect-fitting-selection.generated.ts","8658"
"17","接头替代查询","126007","","CV-BV-32-PP-N","单向阀","CV","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","使用占位图或公司 Logo","data/resources/fitting-replacement/all-compatible-products.generated.ts","14"
