"序号","产品编码","型号","产品ID","产品名称","接头类型","数据来源类型","当前状态","详情Slug","详情链接","主图字段","主图引用路径","实际匹配路径","检查结果","建议动作","数据文件","数据位置"
"1","806033","BA-32-64-PP-N","806033","BA-32-64-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2915 行"
"2","806036","BA-24-40-PP-N","806036","BA-24-40-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2857 行"
"3","806037","BA-40-64-PP-N","806037","BA-40-64-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2683 行"
"4","806055","BF4-24-PP-N","806055","BF4-24-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 9077 行"
"5","806147","BA-32-48-PP-N","806147","BA-32-48-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 3147 行"
"6","806148","BA-32-95-PP-N","806148","BA-32-95-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2741 行"
"7","806189","BF4-32-PP-N","806189","BF4-32-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 9134 行"
"8","806192","BX4-24-PP-N","806192","BX4-24-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 9248 行"
"9","806197","BT-24-16-16-PP-N","806197","BT-24-16-16-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 6483 行"
"10","806201","BA-127-PP-N","806201","BA-127-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 2973 行"
"11","806208","BY-64-40-40-PP-N","806208","BY-64-40-40-PP-N","barbed-fittings","barbed-fitting-selection","active","barbed-fittings","/products/fittings/barbed-fittings","imageCard","/images/logo/foreach-logo-color.svg","/images/logo/foreach-logo-color.svg","使用占位图或公司Logo","列入待下架清单，正式修改前再次确认","data/products/selection/barbed-fitting-selection.generated.ts","data/products/selection/barbed-fitting-selection.generated.ts 第 8902 行"
