"序号","产品编码","型号","产品ID","产品名称","接头类型","原状态","新状态","详情Slug","数据文件","匹配行号"
"1","806033","BA-32-64-PP-N","806033","BA-32-64-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","2915"
"2","806036","BA-24-40-PP-N","806036","BA-24-40-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","2857"
"3","806037","BA-40-64-PP-N","806037","BA-40-64-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","2683"
"4","806055","BF4-24-PP-N","806055","BF4-24-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","9077"
"5","806147","BA-32-48-PP-N","806147","BA-32-48-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","3147"
"6","806148","BA-32-95-PP-N","806148","BA-32-95-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","2741"
"7","806189","BF4-32-PP-N","806189","BF4-32-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","9134"
"8","806192","BX4-24-PP-N","806192","BX4-24-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","9248"
"9","806197","BT-24-16-16-PP-N","806197","BT-24-16-16-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","6483"
"10","806201","BA-127-PP-N","806201","BA-127-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","2973"
"11","806208","BY-64-40-40-PP-N","806208","BY-64-40-40-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","8902"
"12","806220","BX4-16-PP-N","806220","BX4-16-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","9191"
"13","806221","BX4-32-PP-N","806221","BX4-32-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","9305"
"14","806224","BF4-16-PP-N","806224","BF4-16-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","9020"
"15","806256","BA-95-127-PP-N","806256","BA-95-127-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","3031"
"16","806272","BA-40-79-AC-W","806272","BA-40-79-AC-W","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","3089"
"17","806276","BA-48-95-PP-N","806276","BA-48-95-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","2799"
"18","806282","BY-79-PP-N","806282","BY-79-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","8961"
"19","809862","BA-40D-64D-PP-N","809862","BA-40D-64D-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","2625"
"20","809863","BT-48D-PP-N","809863","BT-48D-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","7191"
"21","809865","BT-79D-PP-N","809865","BT-79D-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","7250"
"22","809881","BL-160-PP-N","809881","BL-160-PP-N","barbed-fittings","active","inactive","barbed-fittings","data/products/selection/barbed-fitting-selection.generated.ts","4655"
"23","126006","CV-DE-16-PV-N","126006","CV-DE-16-PV-N","check-valves","active","inactive","cv-de-16-pv-n","data/products/selection/filter-check-valve-selection.generated.ts","1098"
"24","126007","CV-BV-32-PP-N","126007","CV-BV-32-PP-N","check-valves","active","inactive","cv-bv-32-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","1170"
"25","126009","CV-BV-48-PP-N","126009","CV-BV-48-PP-N","check-valves","active","inactive","cv-bv-48-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","1244"
"26","126011","CV-BV-64-PP-N","126011","CV-BV-64-PP-N","check-valves","active","inactive","cv-bv-64-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","1320"
"27","126012","CV-BE-64-PP-N","126012","CV-BE-64-PP-N","check-valves","active","inactive","cv-be-64-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","1394"
"28","126013","CV-BV-79-PP-N","126013","CV-BV-79-PP-N","check-valves","active","inactive","cv-bv-79-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","1466"
"29","126014","CV-BE-79-PP-N","126014","CV-BE-79-PP-N","check-valves","active","inactive","cv-be-79-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","1538"
"30","126016","CV-BE-95-PP-N","126016","CV-BE-95-PP-N","check-valves","active","inactive","cv-be-95-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","1610"
"31","126025","CV-BF-16-PV-N","126025","CV-BF-16-PV-N","check-valves","active","inactive","cv-bf-16-pv-n","data/products/selection/filter-check-valve-selection.generated.ts","1682"
"32","126026","CV-DE-24-PV-N","126026","CV-DE-24-PV-N","check-valves","active","inactive","cv-de-24-pv-n","data/products/selection/filter-check-valve-selection.generated.ts","1754"
"33","126027","CV-DE-32-PV-N","126027","CV-DE-32-PV-N","check-valves","active","inactive","cv-de-32-pv-n","data/products/selection/filter-check-valve-selection.generated.ts","1826"
"34","129002","CV-BE-32-PV-N","129002","CV-BE-32-PV-N","check-valves","active","inactive","cv-be-32-pv-n","data/products/selection/filter-check-valve-selection.generated.ts","1970"
"35","129003","CV-BF-32-PP-N","129003","CV-BF-32-PP-N","check-valves","active","inactive","cv-bf-32-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","2042"
"36","129004","CV-BE-24-PP-N","129004","CV-BE-24-PP-N","check-valves","active","inactive","cv-be-24-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","2114"
"37","129005","CV-BF-32-PP-B","129005","CV-BF-32-PP-B","check-valves","active","inactive","cv-bf-32-pp-b","data/products/selection/filter-check-valve-selection.generated.ts","2186"
"38","","","809033","PMBSN-M12-PA-B","female-thread-adapters","active","inactive","pmbsn-m12-pa-b","data/products/selection/female-thread-adapter-selection.generated.ts","602"
"39","","","809317","PU-U32-08-SS-N","female-thread-adapters","active","inactive","pu-u32-08-ss-n","data/products/selection/female-thread-adapter-selection.generated.ts","630"
"40","","","809659","PU-U32-U28-08-SS-N","female-thread-adapters","active","inactive","pu-u32-u28-08-ss-n","data/products/selection/female-thread-adapter-selection.generated.ts","659"
"41","","","809664","PUT-U32-05-SS-N","female-thread-adapters","active","inactive","put-u32-05-ss-n","data/products/selection/female-thread-adapter-selection.generated.ts","688"
"42","","","809939","UT-M6-20-PP-N","female-thread-adapters","active","inactive","ut-m6-20-pp-n","data/products/selection/female-thread-adapter-selection.generated.ts","486"
"43","136009","F-PE-10-24-PP-N","136009","F-PE-10-24-PP-N","filters","active","inactive","f-pe-10-24-pp-n","data/products/selection/filter-check-valve-selection.generated.ts","15"
