"商品编码","FOREACH型号","产品类型","产品系列","图片路径","建议删除原因"
"809927","标滚卡箍接头HNE-U28-32-PP-N","环保接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
"809922","紧凑六方卡箍接头HNE6-U28-32-PS-B","环保接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
"809057","HFL6-U28-16-PS-B","旧版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-u28-16-main.jpg","同一路径被 2 个商品编码复用；相同图片内容被 2 个商品编码复用"
"809550","HFL6-U28-16-PS-U","旧版紧凑平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-flat-bottom-fitting/hfl6-u28-16-main.jpg","同一路径被 2 个商品编码复用；相同图片内容被 2 个商品编码复用"
"809201","CL-0-16-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
"809205","CL-0-20-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
"809207","CL-0-25-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
"809209","CL-0-30-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
"809203","CL-0-32-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
"809731","CL-0X-16-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
"809734","CL-0X-20-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
"809735","CL-0X-25-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用"
