"商品编码","FOREACH型号","产品类型","产品系列","图片路径","本地文件","文件存在","文件大小","图片SHA256","图片分类","直接异常","同路径复用","同内容复用","全部原因","首页显示","详情地址"
"809791","PNC-U32-16-PK-N","高压接头","FIT+HP","/images/products/fittings/hard-tube-fittings/high-pressure-fitting/pnc-u32-16-pk-n-main.jpg","public/images/products/fittings/hard-tube-fittings/high-pressure-fitting/pnc-u32-16-pk-n-main.jpg","是","46279","e119f87f96c2f1817a6cac39cd088d02dca91a33443c8c91bc74d2779889cd1e","产品图","","","","","true","/products/fittings/hard-tube-fittings/pnc-u32-16-pk-n"
"809661","PNC6-U32-16-PK-N","高压接头","FIT+HP","/images/products/fittings/hard-tube-fittings/high-pressure-fitting/pnc6-u32-16-pk-n-main.jpg","public/images/products/fittings/hard-tube-fittings/high-pressure-fitting/pnc6-u32-16-pk-n-main.jpg","是","42196","2e64ac4ea9b7c409fe95636480c9ecb44da9c154ccb7328d657e13339019ba1f","产品图","","","","","true","/products/fittings/hard-tube-fittings/pnc6-u32-16-pk-n"
"136005","G-178-32-PA-V","过滤器","G","/images/products/fittings/filters/products/g-178-32-pa-v-main.jpg","public/images/products/fittings/filters/products/g-178-32-pa-v-main.jpg","是","23465","6ebfab4a760e61847f1bc6af7281d3819ca58c2c8d78e24f22f54060dd38f338","产品图","","","","","true","/products/fittings/filters/g-178-32-pa-v"
"136004","G-178-48-PA-V","过滤器","G","/images/products/fittings/filters/products/g-178-48-pa-v-main.jpg","public/images/products/fittings/filters/products/g-178-48-pa-v-main.jpg","是","21677","0efd721f5568c3658596b7f9942713e434f34d945143dee5d9f4e65193bc33a5","产品图","","","","","true","/products/fittings/filters/g-178-48-pa-v"
"136003","G-178-64-PA-V","过滤器","G","/images/products/fittings/filters/products/g-178-64-pa-v-main.jpg","public/images/products/fittings/filters/products/g-178-64-pa-v-main.jpg","是","23087","4e3a7b5fa8eacb24be9694539eeee929f5692c43ac0d5b69e91be12007b329ab","产品图","","","","","true","/products/fittings/filters/g-178-64-pa-v"
"809927","标滚卡箍接头HNE-U28-32-PP-N","环保接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hne-u28-32-pp-n"
"809922","紧凑六方卡箍接头HNE6-U28-32-PS-B","环保接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hne6-u28-32-ps-b"
"809421","HFL-M6-16-PV-B","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-m6-16-pv-b-main.jpg","public/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-m6-16-pv-b-main.jpg","是","49636","49e1d756ae3e3aded95b0ffb271180aaff928d52992d8d9d3dbbb1ae3cf1ff05","产品图","","","","","true","/products/fittings/hard-tube-fittings/hfl-m6-16-pv-b"
"809423","HFL-M6-32-PV-B","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-m6-32-pv-b-main.jpg","public/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-m6-32-pv-b-main.jpg","是","50737","228a3b78c28b0ff47a085d81ed4708a014d3c4a0f9f0dbda6c52e92aee11e7b7","产品图","","","","","true","/products/fittings/hard-tube-fittings/hfl-m6-32-pv-b"
"809391","HFL-U28-16-PV-B","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-u28-16-pv-b-main.jpg","public/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-u28-16-pv-b-main.jpg","是","51000","e5ffa512b3eea8806243dd414beb850e3eaad586a48cb88146845d41d974248c","产品图","","","","","true","/products/fittings/hard-tube-fittings/hfl-u28-16-pv-b"
