"商品编码","FOREACH型号","产品类型","产品系列","图片路径","本地文件","文件存在","文件大小","图片SHA256","图片分类","直接异常","同路径复用","同内容复用","全部原因","首页显示","详情地址"
"809927","标滚卡箍接头HNE-U28-32-PP-N","环保接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hne-u28-32-pp-n"
"809922","紧凑六方卡箍接头HNE6-U28-32-PS-B","环保接头","FIT+H","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true","/products/fittings/hard-tube-fittings/hne6-u28-32-ps-b"
"809201","CL-0-16-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809205","CL-0-20-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809207","CL-0-25-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809209","CL-0-30-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809203","CL-0-32-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809731","CL-0X-16-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809734","CL-0X-20-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
"809735","CL-0X-25-ET-N","卡箍","FIT+CL","/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","public/images/resources/selection-support/fitting-replacement/compatible-model-placeholder.svg","是","4784","e1e185cde88f390bce56717d0f823769030d43e982a4ba3c1d70d57aa94014aa","占位图","Logo/占位图/默认图","同一路径被 25 个商品编码复用","相同图片内容被 25 个商品编码复用","Logo/占位图/默认图；同一路径被 25 个商品编码复用；相同图片内容被 25 个商品编码复用","true",""
