"组号","复用商品数","不同路径数","图片SHA256","图片路径","商品编码","FOREACH型号","产品类型","产品系列"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","839036","Q2003-PNV-SACN","快插接头","Q20"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","839109","Q2018T-SNV-SACN","快插接头","Q20"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","839097","Q2018T-SNV-SPPE","快插接头","Q20"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","839110","Q2018T-SNX-SACN","快插接头","Q20"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","839104","Q2018T-SNX-SPPE","快插接头","Q20"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849032","Q4004-PMV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849066","Q4004-PMV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849015","Q4004-PMX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849049","Q4004-PMX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849030","Q4004-PNV-LACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849064","Q4004-PNV-LPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849027","Q4004-PNV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849061","Q4004-PNV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849010","Q4004-PNX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849044","Q4004-PNX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849024","Q4004-SMV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849058","Q4004-SMV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849007","Q4004-SMX-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849041","Q4004-SMX-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849018","Q4004-SNV-SACN","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849052","Q4004-SNV-SPPE","快插接头","Q40"
"1","97","1","254cf503589fcc912497d4e9c51c87c13956ee5761f646619d216e890210142d","/images/products/FIT/Quick connector_200x200_01_v001.jpg","849001","Q4004-SNX-SACN","快插接头","Q40"
