"商品编码","FOREACH型号","产品类型","产品系列","图片路径","图片SHA256"
"809791","PNC-U32-16-PK-N","高压接头","FIT+HP","/images/products/fittings/hard-tube-fittings/high-pressure-fitting/pnc-u32-16-pk-n-main.jpg","e119f87f96c2f1817a6cac39cd088d02dca91a33443c8c91bc74d2779889cd1e"
"809661","PNC6-U32-16-PK-N","高压接头","FIT+HP","/images/products/fittings/hard-tube-fittings/high-pressure-fitting/pnc6-u32-16-pk-n-main.jpg","2e64ac4ea9b7c409fe95636480c9ecb44da9c154ccb7328d657e13339019ba1f"
"136005","G-178-32-PA-V","过滤器","G","/images/products/fittings/filters/products/g-178-32-pa-v-main.jpg","6ebfab4a760e61847f1bc6af7281d3819ca58c2c8d78e24f22f54060dd38f338"
"136004","G-178-48-PA-V","过滤器","G","/images/products/fittings/filters/products/g-178-48-pa-v-main.jpg","0efd721f5568c3658596b7f9942713e434f34d945143dee5d9f4e65193bc33a5"
"136003","G-178-64-PA-V","过滤器","G","/images/products/fittings/filters/products/g-178-64-pa-v-main.jpg","4e3a7b5fa8eacb24be9694539eeee929f5692c43ac0d5b69e91be12007b329ab"
"809421","HFL-M6-16-PV-B","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-m6-16-pv-b-main.jpg","49e1d756ae3e3aded95b0ffb271180aaff928d52992d8d9d3dbbb1ae3cf1ff05"
"809423","HFL-M6-32-PV-B","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-m6-32-pv-b-main.jpg","228a3b78c28b0ff47a085d81ed4708a014d3c4a0f9f0dbda6c52e92aee11e7b7"
"809391","HFL-U28-16-PV-B","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-u28-16-pv-b-main.jpg","e5ffa512b3eea8806243dd414beb850e3eaad586a48cb88146845d41d974248c"
"809030","HFL-U28-16-PV-N","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-u28-16-pv-n-main.jpg","491d6986b8cd7cd8ba16f686d605e8f233b01fa9e8c88c9ab2e5d6d347c34568"
"809040","HFL-U28-20-PV-N","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-u28-20-pv-n-main.jpg","a14f5ec48ccd0a5560d3b6a66b089ef55546fc2f61e5bb2f8058008d2eeaea44"
"809052","HFL-U28-25-PV-N","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-u28-25-pv-n-main.jpg","18dba34778bd039b05819c35146e23d5aa8cf6eed55402e16cba0023ce5c6cc8"
"809047","HFL-U28-30-PV-N","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-u28-30-pv-n-main.jpg","f490d67d669fdcdca1a3c3a34da362b7f371bf26b24bed87908d3ff58a662b53"
"809035","HFL-U28-32-PV-N","旧版标滚平底接头","FIT+H","/images/products/fittings/hard-tube-fittings/standard-flat-bottom-fitting/hfl-u28-32-pv-n-main.jpg","8736aca4465031c5a9307ee4fc8c7c8decbdcff446ae9be797c4a185be9a8f28"
"809128","HNF6-M6-16-PS-B","旧版紧凑卡箍接头","FIT+H","/images/products/fittings/hard-tube-fittings/compact-ferrule-fitting/hnf6-m6-16-main.jpg","747cac213121233cb2e87a8cf72afb306f736dbced1766bbe34e7c39f55727d9"
