"序号","产品编码","产品ID","型号","产品名称","接头类型"
"1","806033","806033","BA-32-64-PP-N","BA-32-64-PP-N","barbed-fittings"
"2","806036","806036","BA-24-40-PP-N","BA-24-40-PP-N","barbed-fittings"
"3","806037","806037","BA-40-64-PP-N","BA-40-64-PP-N","barbed-fittings"
"4","806055","806055","BF4-24-PP-N","BF4-24-PP-N","barbed-fittings"
"5","806147","806147","BA-32-48-PP-N","BA-32-48-PP-N","barbed-fittings"
"6","806148","806148","BA-32-95-PP-N","BA-32-95-PP-N","barbed-fittings"
"7","806189","806189","BF4-32-PP-N","BF4-32-PP-N","barbed-fittings"
"8","806192","806192","BX4-24-PP-N","BX4-24-PP-N","barbed-fittings"
"9","806197","806197","BT-24-16-16-PP-N","BT-24-16-16-PP-N","barbed-fittings"
"10","806201","806201","BA-127-PP-N","BA-127-PP-N","barbed-fittings"
"11","806208","806208","BY-64-40-40-PP-N","BY-64-40-40-PP-N","barbed-fittings"
"12","806220","806220","BX4-16-PP-N","BX4-16-PP-N","barbed-fittings"
"13","806221","806221","BX4-32-PP-N","BX4-32-PP-N","barbed-fittings"
"14","806224","806224","BF4-16-PP-N","BF4-16-PP-N","barbed-fittings"
"15","806256","806256","BA-95-127-PP-N","BA-95-127-PP-N","barbed-fittings"
"16","806272","806272","BA-40-79-AC-W","BA-40-79-AC-W","barbed-fittings"
"17","806276","806276","BA-48-95-PP-N","BA-48-95-PP-N","barbed-fittings"
"18","806282","806282","BY-79-PP-N","BY-79-PP-N","barbed-fittings"
"19","809862","809862","BA-40D-64D-PP-N","BA-40D-64D-PP-N","barbed-fittings"
"20","809863","809863","BT-48D-PP-N","BT-48D-PP-N","barbed-fittings"
"21","809865","809865","BT-79D-PP-N","BT-79D-PP-N","barbed-fittings"
"22","809881","809881","BL-160-PP-N","BL-160-PP-N","barbed-fittings"
"23","126006","126006","CV-DE-16-PV-N","CV-DE-16-PV-N","check-valves"
"27","126012","126012","CV-BE-64-PP-N","CV-BE-64-PP-N","check-valves"
"28","126013","126013","CV-BV-79-PP-N","CV-BV-79-PP-N","check-valves"
"29","126014","126014","CV-BE-79-PP-N","CV-BE-79-PP-N","check-valves"
"30","126016","126016","CV-BE-95-PP-N","CV-BE-95-PP-N","check-valves"
"31","126025","126025","CV-BF-16-PV-N","CV-BF-16-PV-N","check-valves"
"32","126026","126026","CV-DE-24-PV-N","CV-DE-24-PV-N","check-valves"
"33","126027","126027","CV-DE-32-PV-N","CV-DE-32-PV-N","check-valves"
"34","129002","129002","CV-BE-32-PV-N","CV-BE-32-PV-N","check-valves"
"35","129003","129003","CV-BF-32-PP-N","CV-BF-32-PP-N","check-valves"
"36","129004","129004","CV-BE-24-PP-N","CV-BE-24-PP-N","check-valves"
"37","129005","129005","CV-BF-32-PP-B","CV-BF-32-PP-B","check-valves"
"38","","809033","","PMBSN-M12-PA-B","female-thread-adapters"
"39","","809317","","PU-U32-08-SS-N","female-thread-adapters"
"40","","809659","","PU-U32-U28-08-SS-N","female-thread-adapters"
"41","","809664","","PUT-U32-05-SS-N","female-thread-adapters"
"42","","809939","","UT-M6-20-PP-N","female-thread-adapters"
"43","136009","136009","F-PE-10-24-PP-N","F-PE-10-24-PP-N","filters"
"44","139002","139002","F-PE-100-32-PV-N","F-PE-100-32-PV-N","filters"
"45","139005","139005","F-SS-150-127-AC-N","F-SS-150-127-AC-N","filters"
"46","139006","139006","F-SS-150-127D-AC-N","F-SS-150-127D-AC-N","filters"
"47","139007","139007","F-SS-150-127-PP-N","F-SS-150-127-PP-N","filters"
"48","139008","139008","F-SS-150-127D-PP-N","F-SS-150-127D-PP-N","filters"
"49","139009","139009","139009","139009 水循环过滤器组件","filters"
"50","139010","139010","139010","139010 水循环过滤器组件","filters"
"51","139011","139011","F-SS-150-79D-PP-N","F-SS-150-79D-PP-N","filters"
"52","139012","139012","F-PA-150-32-PP-N","F-PA-150-32-PP-N","filters"
"53","139013","139013","F-SS-150-95D-PP-N","F-SS-150-95D-PP-N","filters"
"54","139014","139014","F-PA-250-32D-PA-N","F-PA-250-32D-PA-N","filters"
"55","139015","139015","F-SS-150-191-PP-N","F-SS-150-191-PP-N","filters"
"56","","809932","","LPR-32-PV-N","luer-fittings"
"57","809004","809004","SB-U28-16-PP-W","SB-U28-16-PP-W","thread-to-barbed-fittings"
"58","809011","809011","SB-U28-32-PP-W","SB-U28-32-PP-W","thread-to-barbed-fittings"
"59","809018","809018","SB-M6-16-PP-W","SB-M6-16-PP-W","thread-to-barbed-fittings"
"60","809025","809025","SB-M6-32-PP-W","SB-M6-32-PP-W","thread-to-barbed-fittings"
"61","809034","809034","SA-G1/8-64C-PP-N（带O圈）","SA-G1/8-64C-PP-N（带O圈）","thread-to-barbed-fittings"
"62","809268","809268","SA-U32-24F-PP-N","SA-U32-24F-PP-N","thread-to-barbed-fittings"
"63","809323","809323","SA-U32-24F-PA-W","SA-U32-24F-PA-W","thread-to-barbed-fittings"
"64","809339","809339","SA-U32-16F-PA-W","SA-U32-16F-PA-W","thread-to-barbed-fittings"
"65","809470","809470","SA-1/8NPT-24C-PP-N","SA-1/8NPT-24C-PP-N","thread-to-barbed-fittings"
"66","809471","809471","SA-1/8NPT-32C-PP-N","SA-1/8NPT-32C-PP-N","thread-to-barbed-fittings"
"67","809472","809472","SA-1/8NPT-40C-PP-N","SA-1/8NPT-40C-PP-N","thread-to-barbed-fittings"
"68","809473","809473","SA-1/8NPT-48C-PP-N","SA-1/8NPT-48C-PP-N","thread-to-barbed-fittings"
"69","809474","809474","SA-1/8NPT-64C-PP-N","SA-1/8NPT-64C-PP-N","thread-to-barbed-fittings"
"70","809475","809475","SAL-1/8NPT-64D-PP-N","SAL-1/8NPT-64D-PP-N","thread-to-barbed-fittings"
"71","809476","809476","SA-1/4NPT-32D-PP-N","SA-1/4NPT-32D-PP-N","thread-to-barbed-fittings"
"72","809477","809477","SA-1/4NPT-64D-PP-N","SA-1/4NPT-64D-PP-N","thread-to-barbed-fittings"
"73","809478","809478","SA-1/4NPT-95D-PP-N","SA-1/4NPT-95D-PP-N","thread-to-barbed-fittings"
"74","809490","809490","SA-G1/8-40C-PV-N","SA-G1/8-40C-PV-N","thread-to-barbed-fittings"
"75","809502","809502","SA-1/8NPT-24C-PA-W","SA-1/8NPT-24C-PA-W","thread-to-barbed-fittings"
"76","809503","809503","SA-1/8NPT-32C-PA-W","SA-1/8NPT-32C-PA-W","thread-to-barbed-fittings"
"77","809504","809504","SA-1/8NPT-40C-PA-W","SA-1/8NPT-40C-PA-W","thread-to-barbed-fittings"
"78","809505","809505","SA-1/8NPT-48C-PA-W","SA-1/8NPT-48C-PA-W","thread-to-barbed-fittings"
"79","809506","809506","SA-1/8NPT-64C-PA-W","SA-1/8NPT-64C-PA-W","thread-to-barbed-fittings"
"80","809507","809507","SAL-1/8NPT-64D-PA-W","SAL-1/8NPT-64D-PA-W","thread-to-barbed-fittings"
"81","809509","809509","SA-1/4NPT-64D-PA-W","SA-1/4NPT-64D-PA-W","thread-to-barbed-fittings"
"82","809510","809510","SA-1/4NPT-95D-PA-W","SA-1/4NPT-95D-PA-W","thread-to-barbed-fittings"
"83","809546","809546","SA-G1/8-40C-PV-N(O圈FKM)","SA-G1/8-40C-PV-N(O圈FKM)","thread-to-barbed-fittings"
"84","809826","809826","SA-U32-24F-PV-N","SA-U32-24F-PV-N","thread-to-barbed-fittings"
"85","809867","809867","SA-G1/8-40C-PV-N（带O圈）","SA-G1/8-40C-PV-N（带O圈）","thread-to-barbed-fittings"
"86","809868","809868","SA-G1/8-40C-PP-N（带O圈）","SA-G1/8-40C-PP-N（带O圈）","thread-to-barbed-fittings"
"87","809873","809873","SA-G1/8-64C-PV-N（带O圈）","SA-G1/8-64C-PV-N（带O圈）","thread-to-barbed-fittings"
"88","809924","809924","SA-G1/8-64C-PP-N（带O圈）","SA-G1/8-64C-PP-N（带O圈）","thread-to-barbed-fittings"
"89","809948","809948","SA-U32-16D-PP-N","SA-U32-16D-PP-N","thread-to-barbed-fittings"
"90","809952","809952","SA-U32-16D-PA-W","SA-U32-16D-PA-W","thread-to-barbed-fittings"
"91","809953","809953","SA-G1/8-64C-PK-N（带o圈）","SA-G1/8-64C-PK-N（带o圈）","thread-to-barbed-fittings"
"92","839936","839936","SA-3/8NPT-127-PP-N","SA-3/8NPT-127-PP-N","thread-to-barbed-fittings"
