"分组","结论","分组产品数","分组结构数","商品编码","型号","状态","系列","口径","公母端","穿板状态","带阀状态","结构形式","材质","密封圈","结构签名","主图路径","实际文件","图片存在","占位图","图片SHA256","图片字节","数据行"
"","","","","839041","Q2001-PMV-SACN","active","Q20","1.6 mm","公端","穿板","带阀","直通","POM","","q20|1.6mm|公端|穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-pmv-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-pmv-sacn-main.jpg","是","否","922acaddd06013402a1c2c70c8555abbd176bd6fb77922817942a69db1b37234","38110","23"
"","","","","839085","Q2001-PMV-SPPE","active","Q20","1.6 mm","公端","穿板","带阀","直通","PP","","q20|1.6mm|公端|穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-pmv-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-pmv-sppe-main.jpg","是","否","8e879755ec19def86816cf401df7ce79c668d8fc9e7ac33f79bd9a3372396b83","44541","78"
"","","","","839019","Q2001-PMX-SACN","active","Q20","1.6 mm","公端","穿板","不带阀","直通","POM","","q20|1.6mm|公端|穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-pmx-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-pmx-sacn-main.jpg","是","否","ce6d259def9b6600eb67d4a7694e89e6ad835c875fa554098752c0b9b3a6bccf","38360","133"
"","","","","839063","Q2001-PMX-SPPE","active","Q20","1.6 mm","公端","穿板","不带阀","直通","PP","","q20|1.6mm|公端|穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-pmx-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-pmx-sppe-main.jpg","是","否","b81cddf9ad06e5b941c516ccac66d6c6a25c1b6bc9095690e37da7a2755dc5c7","46385","188"
"","","","","839034","Q2001-PNV-SACN","active","Q20","1.6 mm","公端","非穿板","带阀","直通","POM","","q20|1.6mm|公端|非穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-pnv-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-pnv-sacn-main.jpg","是","否","cd61072fa5ccdce0b73cd88147298dd1d1f406fad2afd9c4e49ecc9c60efd083","27799","243"
"","","","","839078","Q2001-PNV-SPPE","active","Q20","1.6 mm","公端","非穿板","带阀","直通","PP","","q20|1.6mm|公端|非穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-pnv-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-pnv-sppe-main.jpg","是","否","830f2a69bf6b71f792b4dabe4539030ec76b0e2b7cdd347947e42acea2e177d7","35581","298"
"","","","","839012","Q2001-PNX-SACN","active","Q20","1.6 mm","公端","非穿板","不带阀","直通","POM","","q20|1.6mm|公端|非穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-pnx-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-pnx-sacn-main.jpg","是","否","6be5f26a843040c12f445ef782676d471d8d7cb39ecef1476bd7efa650736489","29808","353"
"","","","","839056","Q2001-PNX-SPPE","active","Q20","1.6 mm","公端","非穿板","不带阀","直通","PP","","q20|1.6mm|公端|非穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-pnx-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-pnx-sppe-main.jpg","是","否","3746f551ae4db6238fb5e01589c863eea85a2e5448473e3c338930c4b6dfd283","37312","408"
"","","","","839030","Q2001-SMV-SACN","active","Q20","1.6 mm","母端","穿板","带阀","直通","POM","","q20|1.6mm|母端|穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-smv-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-smv-sacn-main.jpg","是","否","f99e81df692ccd09e5d14d941b398c14d1b8c5c23924e34c45fa510e942a5572","49362","463"
"","","","","839074","Q2001-SMV-SPPE","active","Q20","1.6 mm","母端","穿板","带阀","直通","PP","","q20|1.6mm|母端|穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-smv-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-smv-sppe-main.jpg","是","否","84d3daf91179269746d63cb7a415ad3157ab620404f23d97675fbe43bd4f2be8","58631","518"
"","","","","839008","Q2001-SMX-SACN","active","Q20","1.6 mm","母端","穿板","不带阀","直通","POM","","q20|1.6mm|母端|穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-smx-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-smx-sacn-main.jpg","是","否","5a8777a16c27ae0ac082f6cecef79440660b2c4788a89d2a9a503c77c53f320c","48286","573"
"","","","","839052","Q2001-SMX-SPPE","active","Q20","1.6 mm","母端","穿板","不带阀","直通","PP","","q20|1.6mm|母端|穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-smx-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-smx-sppe-main.jpg","是","否","1770a6923fb8e5cdf877fa3a2c753d554ce2c3a1ba1bab2c92d6da9cab041149","58249","628"
"","","","","839023","Q2001-SNV-SACN","active","Q20","1.6 mm","母端","非穿板","带阀","直通","POM","","q20|1.6mm|母端|非穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-snv-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-snv-sacn-main.jpg","是","否","ece2aa0ede76ea57e38b9b439b1dd718c0d7c29687cccfd509d39682731ed753","48713","683"
"","","","","839067","Q2001-SNV-SPPE","active","Q20","1.6 mm","母端","非穿板","带阀","直通","PP","","q20|1.6mm|母端|非穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-snv-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-snv-sppe-main.jpg","是","否","d2420f367d97bd341cecd9e870b77ea48671ed61df87fbdb8ca988a294b78768","58247","738"
"","","","","839001","Q2001-SNX-SACN","active","Q20","1.6 mm","母端","非穿板","不带阀","直通","POM","","q20|1.6mm|母端|非穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-snx-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-snx-sacn-main.jpg","是","否","8e7cf474408a0e37a393d8c70aaaa564c908fdbdfa4b527478f8f7f571a4e1f9","46865","793"
"","","","","839045","Q2001-SNX-SPPE","active","Q20","1.6 mm","母端","非穿板","不带阀","直通","PP","","q20|1.6mm|母端|非穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2001-snx-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2001-snx-sppe-main.jpg","是","否","780cfc2702d2adb867d68d5d9d5bab6a10ca8526c37419248502dc48329947f6","56545","848"
"","","","","839042","Q2002-PMV-SACN","active","Q20","3.2 mm","公端","穿板","带阀","直通","POM","","q20|3.2mm|公端|穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2002-pmv-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2002-pmv-sacn-main.jpg","是","否","ff4426b35dd56f795a4988ec3539d3dc25e6702656219beeb78b286ee3a13c8e","34743","903"
"","","","","839086","Q2002-PMV-SPPE","active","Q20","3.2 mm","公端","穿板","带阀","直通","PP","","q20|3.2mm|公端|穿板|带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2002-pmv-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2002-pmv-sppe-main.jpg","是","否","6e44ab2ec90866de8f23df559348acd1ae50d04e622176c3013087aba97f2e89","41998","958"
"","","","","839020","Q2002-PMX-SACN","active","Q20","3.2 mm","公端","穿板","不带阀","直通","POM","","q20|3.2mm|公端|穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2002-pmx-sacn-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2002-pmx-sacn-main.jpg","是","否","2f80e4f1c4b1aededba9728874afe1c00d61a4d5fce1776057f3644eea51fd5c","34092","1013"
"","","","","839064","Q2002-PMX-SPPE","active","Q20","3.2 mm","公端","穿板","不带阀","直通","PP","","q20|3.2mm|公端|穿板|不带阀|直通","/images/products/fittings/quick-connect-fittings/products/q2002-pmx-sppe-main.jpg","public/images/products/fittings/quick-connect-fittings/products/q2002-pmx-sppe-main.jpg","是","否","2bb5df2704e33f11cab120e760b58b5b5d88cd524a641337294e91525c96028e","41071","1068"
