"序号","数据文件","商品编码","型号","状态"
"1","data/products/selection/barbed-fitting-selection.generated.ts","809862","BA-40D-64D-PP-N","hidden"
"2","data/products/selection/barbed-fitting-selection.generated.ts","806037","BA-40-64-PP-N","hidden"
"3","data/products/selection/barbed-fitting-selection.generated.ts","806148","BA-32-95-PP-N","hidden"
"4","data/products/selection/barbed-fitting-selection.generated.ts","806276","BA-48-95-PP-N","hidden"
"5","data/products/selection/barbed-fitting-selection.generated.ts","806036","BA-24-40-PP-N","hidden"
"6","data/products/selection/barbed-fitting-selection.generated.ts","806033","BA-32-64-PP-N","hidden"
"7","data/products/selection/barbed-fitting-selection.generated.ts","806201","BA-127-PP-N","hidden"
"8","data/products/selection/barbed-fitting-selection.generated.ts","806256","BA-95-127-PP-N","hidden"
"9","data/products/selection/barbed-fitting-selection.generated.ts","806272","BA-40-79-AC-W","hidden"
"10","data/products/selection/barbed-fitting-selection.generated.ts","806147","BA-32-48-PP-N","hidden"
"11","data/products/selection/barbed-fitting-selection.generated.ts","809881","BL-160-PP-N","hidden"
"12","data/products/selection/barbed-fitting-selection.generated.ts","806197","BT-24-16-16-PP-N","hidden"
"13","data/products/selection/barbed-fitting-selection.generated.ts","809863","BT-48D-PP-N","hidden"
"14","data/products/selection/barbed-fitting-selection.generated.ts","809865","BT-79D-PP-N","hidden"
"15","data/products/selection/barbed-fitting-selection.generated.ts","806208","BY-64-40-40-PP-N","hidden"
"16","data/products/selection/barbed-fitting-selection.generated.ts","806282","BY-79-PP-N","hidden"
"17","data/products/selection/barbed-fitting-selection.generated.ts","806224","BF4-16-PP-N","hidden"
"18","data/products/selection/barbed-fitting-selection.generated.ts","806055","BF4-24-PP-N","hidden"
"19","data/products/selection/barbed-fitting-selection.generated.ts","806189","BF4-32-PP-N","hidden"
"20","data/products/selection/barbed-fitting-selection.generated.ts","806220","BX4-16-PP-N","hidden"
"21","data/products/selection/barbed-fitting-selection.generated.ts","806192","BX4-24-PP-N","hidden"
"22","data/products/selection/barbed-fitting-selection.generated.ts","806221","BX4-32-PP-N","hidden"
"23","data/products/selection/filter-check-valve-selection.generated.ts","136009","F-PE-10-24-PP-N","hidden"
"24","data/products/selection/filter-check-valve-selection.generated.ts","139002","F-PE-100-32-PV-N","hidden"
"25","data/products/selection/filter-check-valve-selection.generated.ts","139012","F-PA-150-32-PP-N","hidden"
"26","data/products/selection/filter-check-valve-selection.generated.ts","139014","F-PA-250-32D-PA-N","hidden"
"27","data/products/selection/filter-check-valve-selection.generated.ts","139005","F-SS-150-127-AC-N","hidden"
"28","data/products/selection/filter-check-valve-selection.generated.ts","139006","F-SS-150-127D-AC-N","hidden"
"29","data/products/selection/filter-check-valve-selection.generated.ts","139007","F-SS-150-127-PP-N","hidden"
"30","data/products/selection/filter-check-valve-selection.generated.ts","139008","F-SS-150-127D-PP-N","hidden"
"31","data/products/selection/filter-check-valve-selection.generated.ts","139011","F-SS-150-79D-PP-N","hidden"
"32","data/products/selection/filter-check-valve-selection.generated.ts","139013","F-SS-150-95D-PP-N","hidden"
"33","data/products/selection/filter-check-valve-selection.generated.ts","139015","F-SS-150-191-PP-N","hidden"
"34","data/products/selection/filter-check-valve-selection.generated.ts","139009","139009","hidden"
"35","data/products/selection/filter-check-valve-selection.generated.ts","139010","139010","hidden"
"36","data/products/selection/filter-check-valve-selection.generated.ts","126006","CV-DE-16-PV-N","hidden"
"37","data/products/selection/filter-check-valve-selection.generated.ts","126007","CV-BV-32-PP-N","hidden"
"38","data/products/selection/filter-check-valve-selection.generated.ts","126009","CV-BV-48-PP-N","hidden"
"39","data/products/selection/filter-check-valve-selection.generated.ts","126011","CV-BV-64-PP-N","hidden"
"40","data/products/selection/filter-check-valve-selection.generated.ts","126012","CV-BE-64-PP-N","hidden"
"41","data/products/selection/filter-check-valve-selection.generated.ts","126013","CV-BV-79-PP-N","hidden"
"42","data/products/selection/filter-check-valve-selection.generated.ts","126014","CV-BE-79-PP-N","hidden"
"43","data/products/selection/filter-check-valve-selection.generated.ts","126016","CV-BE-95-PP-N","hidden"
"44","data/products/selection/filter-check-valve-selection.generated.ts","126025","CV-BF-16-PV-N","hidden"
"45","data/products/selection/filter-check-valve-selection.generated.ts","126026","CV-DE-24-PV-N","hidden"
"46","data/products/selection/filter-check-valve-selection.generated.ts","126027","CV-DE-32-PV-N","hidden"
"47","data/products/selection/filter-check-valve-selection.generated.ts","129002","CV-BE-32-PV-N","hidden"
"48","data/products/selection/filter-check-valve-selection.generated.ts","129003","CV-BF-32-PP-N","hidden"
"49","data/products/selection/filter-check-valve-selection.generated.ts","129004","CV-BE-24-PP-N","hidden"
"50","data/products/selection/filter-check-valve-selection.generated.ts","129005","CV-BF-32-PP-B","hidden"
"51","data/products/selection/female-thread-adapter-selection.generated.ts","809939","","hidden"
"52","data/products/selection/female-thread-adapter-selection.generated.ts","809033","","hidden"
"53","data/products/selection/female-thread-adapter-selection.generated.ts","809317","","hidden"
"54","data/products/selection/female-thread-adapter-selection.generated.ts","809659","","hidden"
"55","data/products/selection/female-thread-adapter-selection.generated.ts","809664","","hidden"
"56","data/products/selection/luer-fitting-selection.generated.ts","809932","","hidden"
"57","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809268","SA-U32-24F-PP-N","hidden"
"58","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809323","SA-U32-24F-PA-W","hidden"
"59","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809339","SA-U32-16F-PA-W","hidden"
"60","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809470","SA-1/8NPT-24C-PP-N","hidden"
"61","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809471","SA-1/8NPT-32C-PP-N","hidden"
"62","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809472","SA-1/8NPT-40C-PP-N","hidden"
"63","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809473","SA-1/8NPT-48C-PP-N","hidden"
"64","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809474","SA-1/8NPT-64C-PP-N","hidden"
"65","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809475","SAL-1/8NPT-64D-PP-N","hidden"
"66","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809476","SA-1/4NPT-32D-PP-N","hidden"
"67","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809477","SA-1/4NPT-64D-PP-N","hidden"
"68","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809478","SA-1/4NPT-95D-PP-N","hidden"
"69","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809502","SA-1/8NPT-24C-PA-W","hidden"
"70","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809503","SA-1/8NPT-32C-PA-W","hidden"
"71","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809504","SA-1/8NPT-40C-PA-W","hidden"
"72","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809505","SA-1/8NPT-48C-PA-W","hidden"
"73","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809506","SA-1/8NPT-64C-PA-W","hidden"
"74","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809507","SAL-1/8NPT-64D-PA-W","hidden"
"75","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809509","SA-1/4NPT-64D-PA-W","hidden"
"76","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809510","SA-1/4NPT-95D-PA-W","hidden"
"77","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809826","SA-U32-24F-PV-N","hidden"
"78","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","839936","SA-3/8NPT-127-PP-N","hidden"
"79","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809948","SA-U32-16D-PP-N","hidden"
"80","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809952","SA-U32-16D-PA-W","hidden"
"81","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809490","SA-G1/8-40C-PV-N","hidden"
"82","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809546","SA-G1/8-40C-PV-N(O圈FKM)","hidden"
"83","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809034","SA-G1/8-64C-PP-N（带O圈）","hidden"
"84","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809867","SA-G1/8-40C-PV-N（带O圈）","hidden"
"85","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809868","SA-G1/8-40C-PP-N（带O圈）","hidden"
"86","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809873","SA-G1/8-64C-PV-N（带O圈）","hidden"
"87","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809924","SA-G1/8-64C-PP-N（带O圈）","hidden"
"88","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809953","SA-G1/8-64C-PK-N（带O圈）","hidden"
"89","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809004","SB-U28-16-PP-W","hidden"
"90","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809011","SB-U28-32-PP-W","hidden"
"91","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809018","SB-M6-16-PP-W","hidden"
"92","data/products/selection/thread-to-barbed-fitting-selection.generated.ts","809025","SB-M6-32-PP-W","hidden"
