"序号","产品名称","产品编码","型号","Slug","产品类别/系列","检查结果","主图字段","主图引用路径","实际匹配路径","数据文件","数据位置","建议动作"
"1","直通等径倒刺接头","809276","BA-16F-PP-N","ba-16f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[0]","无需处理"
"2","直通等径倒刺接头","809277","BA-24F-PP-N","ba-24f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[1]","无需处理"
"3","直通等径倒刺接头","809278","BA-32F-PP-N","ba-32f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-32f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[2]","无需处理"
"4","直通等径倒刺接头","809279","BA-40F-PP-N","ba-40f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-40f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-40f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[3]","无需处理"
"5","直通异径倒刺接头","809288","BA-16F-24F-PP-N","ba-16f-24f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16f-24f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-24f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[4]","无需处理"
"6","直通异径倒刺接头","809289","BA-24F-32F-PP-N","ba-24f-32f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24f-32f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24f-32f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[5]","无需处理"
"7","直通等径倒刺接头","809321","BA-16F-PA-W","ba-16f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[6]","无需处理"
"8","直通异径倒刺接头","809322","BA-16F-24F-PA-W","ba-16f-24f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16f-24f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-24f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[7]","无需处理"
"9","直通等径倒刺接头","809324","BA-24F-PA-W","ba-24f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[8]","无需处理"
"10","直通异径倒刺接头","809325","BA-24F-32F-PA-W","ba-24f-32f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24f-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24f-32f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[9]","无需处理"
"11","直通等径倒刺接头","809328","BA-32F-PA-W","ba-32f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[10]","无需处理"
"12","直通等径倒刺接头","809329","BA-40F-PA-W","ba-40f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-40f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-40f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[11]","无需处理"
"13","直通异径倒刺接头","809330","BA-16F-32F-PP-N","ba-16f-32f-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16f-32f-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-32f-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[12]","无需处理"
"14","直通异径倒刺接头","809332","BA-16F-32F-PA-W","ba-16f-32f-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16f-32f-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-32f-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[13]","无需处理"
"15","直通异径倒刺接头","809371","BA-32C-64C-PA-W","ba-32c-64c-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-32c-64c-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32c-64c-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[14]","无需处理"
"16","直通异径倒刺接头","809370","BA-32C-64C-PP-N","ba-32c-64c-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-32c-64c-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32c-64c-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[15]","无需处理"
"17","直通异径倒刺接头","809374","BA-32V-40V-PP-N","ba-32v-40v-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-32v-40v-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32v-40v-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[16]","无需处理"
"18","直通异径倒刺接头","809375","BA-32V-40V-PA-W","ba-32v-40v-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-32v-40v-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32v-40v-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[17]","无需处理"
"19","直通异径倒刺接头","809376","BA-24V-40V-PP-N","ba-24v-40v-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24v-40v-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24v-40v-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[18]","无需处理"
"20","直通异径倒刺接头","809377","BA-24V-40V-PA-W","ba-24v-40v-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24v-40v-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24v-40v-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[19]","无需处理"
"21","直通异径倒刺接头","809378","BA-64V-79V-PP-N","ba-64v-79v-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-64v-79v-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-64v-79v-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[20]","无需处理"
"22","直通异径倒刺接头","809379","BA-64V-79V-PA-W","ba-64v-79v-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-64v-79v-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-64v-79v-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[21]","无需处理"
"23","直通等径倒刺接头","809424","BA-64C-PP-N","ba-64c-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-64c-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-64c-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[22]","无需处理"
"24","直通等径倒刺接头","809425","BA-64C-PA-W","ba-64c-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-64c-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-64c-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[23]","无需处理"
"25","直通异径倒刺接头","809426","BA-64V-95V-PP-N","ba-64v-95v-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-64v-95v-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-64v-95v-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[24]","无需处理"
"26","直通异径倒刺接头","809427","BA-64V-95V-PA-W","ba-64v-95v-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-64v-95v-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-64v-95v-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[25]","无需处理"
"27","直通异径倒刺接头","809428","BA-64X-127X-PP-N","ba-64x-127x-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-64x-127x-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-64x-127x-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[26]","无需处理"
"28","直通异径倒刺接头","809429","BA-64X-127X-PA-W","ba-64x-127x-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-64x-127x-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-64x-127x-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[27]","无需处理"
"29","直通等径倒刺接头","809547","BA-16C-PP-N","ba-16c-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16c-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16c-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[28]","无需处理"
"30","直通异径倒刺接头","809604","BA-16D-24D-PP-N","ba-16d-24d-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16d-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16d-24d-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[29]","无需处理"
"31","直通异径倒刺接头","809605","BA-16D-24D-PA-W","ba-16d-24d-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16d-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16d-24d-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[30]","无需处理"
"32","直通异径倒刺接头","809606","BA-24D-32D-PP-N","ba-24d-32d-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24d-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24d-32d-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[31]","无需处理"
"33","直通异径倒刺接头","809607","BA-24D-32D-PA-W","ba-24d-32d-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24d-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24d-32d-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[32]","无需处理"
"34","直通等径倒刺接头","809625","BA-24D-PP-N","ba-24d-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24d-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[33]","无需处理"
"35","直通等径倒刺接头","809626","BA-24D-PA-W","ba-24d-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24d-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[34]","无需处理"
"36","直通等径倒刺接头","809627","BA-32D-PP-N","ba-32d-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32d-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[35]","无需处理"
"37","直通等径倒刺接头","809628","BA-32D-PA-W","ba-32d-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-32d-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[36]","无需处理"
"38","直通异径倒刺接头","809629","BA-16D-32D-PP-N","ba-16d-32d-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16d-32d-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16d-32d-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[37]","无需处理"
"39","直通异径倒刺接头","809630","BA-16D-32D-PA-W","ba-16d-32d-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16d-32d-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16d-32d-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[38]","无需处理"
"40","直通等径倒刺接头","809300","BA-16C-PA-W","ba-16c-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16c-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16c-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[39]","无需处理"
"41","直通异径倒刺接头","809788","BA-16F-24F-PV-N","ba-16f-24f-pv-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16f-24f-pv-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16f-24f-pv-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[40]","无需处理"
"42","直通异径倒刺接头","809519","BA-24C-48C-PP-N","ba-24c-48c-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24c-48c-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24c-48c-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[41]","无需处理"
"43","直通异径倒刺接头","809520","BA-24C-48C-PA-W","ba-24c-48c-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-24c-48c-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-24c-48c-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[42]","无需处理"
"44","直通异径倒刺接头","809843","BA-16V-40V-PA-W","ba-16v-40v-pa-w","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16v-40v-pa-w-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16v-40v-pa-w-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[43]","无需处理"
"45","直通异径倒刺接头","809854","BA-16V-40V-PP-N","ba-16v-40v-pp-n","fittings","正常","mainImage","/images/products/fittings/barbed-fittings/products/ba-16v-40v-pp-n-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\barbed-fittings\products\ba-16v-40v-pp-n-main.jpg",".local-backups/downlist-806-2026-07-17T08-16-33-947Z/data/products/generated/fittings/barbed-fittings/detail/index.json","$[44]","无需处理"
