"productType","productCode","model","structureModel","partNumber","pdfFileName","status","matchMethod","websitePdfUrl","sourcePdfPath","message"
"倒刺接头","809276","BA-16F-PP-N","BA-16F","443-01-00030","443-01-00030-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00030-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00030-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809277","BA-24F-PP-N","BA-24F","443-01-00031","443-01-00031-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00031-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00031-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809278","BA-32F-PP-N","BA-32F","443-01-00032","443-01-00032-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00032-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00032-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809279","BA-40F-PP-N","BA-40F","443-01-00033","443-01-00033-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00033-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00033-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809288","BA-16F-24F-PP-N","BA-16F-24F","443-01-00042","443-01-00042-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00042-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00042-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809289","BA-24F-32F-PP-N","BA-24F-32F","443-01-00043","443-01-00043-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00043-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00043-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809321","BA-16F-PA-W","BA-16F","443-01-00076","443-01-00076-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00076-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00076-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809322","BA-16F-24F-PA-W","BA-16F-24F","443-01-00078","443-01-00078-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00078-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00078-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809324","BA-24F-PA-W","BA-24F","443-01-00079","443-01-00079-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00079-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00079-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809325","BA-24F-32F-PA-W","BA-24F-32F","443-01-00080","443-01-00080-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00080-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00080-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809328","BA-32F-PA-W","BA-32F","443-01-00084","443-01-00084-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00084-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00084-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809329","BA-40F-PA-W","BA-40F","443-01-00085","443-01-00085-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00085-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00085-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809330","BA-16F-32F-PP-N","BA-16F-32F","443-01-00086","443-01-00086-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00086-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00086-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809332","BA-16F-32F-PA-W","BA-16F-32F","443-01-00088","443-01-00088-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00088-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00088-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809371","BA-32C-64C-PA-W","BA-32C-64C","443-01-00126","443-01-00126-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00126-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00126-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809370","BA-32C-64C-PP-N","BA-32C-64C","443-01-00127","443-01-00127-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00127-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00127-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809374","BA-32V-40V-PP-N","BA-32V-40V","443-01-00130","443-01-00130-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00130-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00130-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809375","BA-32V-40V-PA-W","BA-32V-40V","443-01-00131","443-01-00131-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00131-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00131-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809376","BA-24V-40V-PP-N","BA-24V-40V","443-01-00132","443-01-00132-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00132-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00132-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809377","BA-24V-40V-PA-W","BA-24V-40V","443-01-00133","443-01-00133-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00133-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00133-C.pdf","PDF 已复制，详情图纸字段已写入"
"倒刺接头","809378","BA-64V-79V-PP-N","BA-64V-79V","443-01-00134","443-01-00134-C.pdf","matched","productCode","/documents/products/fittings/barbed-fittings/drawings/443-01-00134-C.pdf","H:\01-官网项目\02_产品中心\fit\Barbed connector\图纸_pdf\443-01-00134-C.pdf","PDF 已复制，详情图纸字段已写入"
